RK,NAME,TEAM,SALARY
314,"Shavlik Randolph, PF",Phoenix Suns,"$1,227,985"
315,"Tony Wroten, SG",Philadelphia 76ers,"$1,210,080"
316,"Reggie Bullock, SF",Phoenix Suns,"$1,200,720"
317,"Clint Capela, PF",Houston Rockets,"$1,189,200"
318,"Miles Plumlee, C",Phoenix Suns,"$1,169,880"
319,"Andre Roberson, SG",Oklahoma City Thunder,"$1,160,880"
320,"P.J. Hairston, SF",Charlotte Hornets,"$1,149,720"
RK,NAME,TEAM,SALARY
321,"Hilton Armstrong, PF",Golden State Warriors,"$1,145,685"
322,"Brandon Rush, SF",Golden State Warriors,"$1,145,685"
323,"Cartier Martin, PF",Detroit Pistons,"$1,145,685"
324,"Arnett Moultrie, PF",New York Knicks,"$1,136,160"
325,"Perry Jones, SF",Oklahoma City Thunder,"$1,129,200"
326,"Rudy Gobert, C",Utah Jazz,"$1,127,400"
327,"Marquis Teague, PG",Philadelphia 76ers,"$1,120,920"
328,"Festus Ezeli, C",Golden State Warriors,"$1,112,880"
329,"Archie Goodwin, SG",Phoenix Suns,"$1,112,280"
330,"C.J. Wilcox, SG",Los Angeles Clippers,"$1,109,760"
RK,NAME,TEAM,SALARY
331,"Nemanja Nedovic, PG",Golden State Warriors,"$1,104,240"
332,"Damjan Rudez, SF",Indiana Pacers,"$1,100,000"
333,"Kyle Anderson, SF",San Antonio Spurs,"$1,093,680"
334,"Kyle Singler, SF",Oklahoma City Thunder,"$1,090,000"
335,"Xavier Henry, SG",Los Angeles Lakers,"$1,082,000"
336,"Robert Covington, SF",Philadelphia 76ers,"$1,000,000"
337,"Garrett Temple, SG",Washington Wizards,"$981,084"
338,"Luke Babbitt, SF",New Orleans Pelicans,"$981,084"
339,"Ed Davis, PF",Los Angeles Lakers,"$981,084"
340,"Al-Farouq Aminu, SF",Dallas Mavericks,"$981,084"
RK,NAME,TEAM,SALARY
341,"Alexis Ajinca, C",New Orleans Pelicans,"$981,084"
342,"Jon Leuer, PF",Memphis Grizzlies,"$967,500"
343,"Josh Harrellson, C",Washington Wizards,"$948,163"
344,"Greg Smith, PF",Dallas Mavericks,"$948,163"
345,"Donald Sloan, PG",Indiana Pacers,"$948,163"
346,"E'Twaun Moore, SG",Chicago Bulls,"$948,163"
347,"Jannero Pargo, PG",Charlotte Hornets,"$915,243"
348,"Jason Maxiell, PF",Charlotte Hornets,"$915,243"
349,"Jeff Taylor, SF",Charlotte Hornets,"$915,243"
350,"Drew Gooden, PF",Washington Wizards,"$915,243"
RK,NAME,TEAM,SALARY
351,"Ryan Hollins, C",Sacramento Kings,"$915,243"
352,"Rasual Butler, SF",Washington Wizards,"$915,243"
353,"Nazr Mohammed, C",Chicago Bulls,"$915,243"
354,"Sebastian Telfair, PG",Oklahoma City Thunder,"$915,243"
355,"Doron Lamb, SG",null Unknown,"$915,243"
356,"Jae Crowder, SF",Dallas Mavericks,"$915,243"
357,"J.J. Barea, PG",Dallas Mavericks,"$909,859"
358,"Jerami Grant, SF",Philadelphia 76ers,"$884,879"
359,"Devyn Marble, SF",Orlando Magic,"$884,879"
360,"Joe Harris, SG",Cleveland Cavaliers,"$884,879"
RK,NAME,TEAM,SALARY
361,"Robbie Hummel, SF",Minnesota Timberwolves,"$880,000"
362,"Allen Crabbe, SG",Portland Trail Blazers,"$862,000"
363,"Ish Smith, PG",Oklahoma City Thunder,"$861,405"
364,"Damien Inglis, SF",Milwaukee Bucks,"$820,000"
365,"Isaiah Canaan, PG",Philadelphia 76ers,"$816,842"
366,"Hollis Thompson, SG",Philadelphia 76ers,"$816,482"
367,"Ray McCallum, PG",Sacramento Kings,"$816,482"
368,"Troy Daniels, SG",Charlotte Hornets,"$816,482"
369,"Nick Calathes, SG",Memphis Grizzlies,"$816,482"
370,"Jeff Withey, C",New Orleans Pelicans,"$816,482"
RK,NAME,TEAM,SALARY
371,"Grant Jerrett, PF",Utah Jazz,"$816,482"
372,"Dwight Buycks, PG",Los Angeles Lakers,"$816,482"
373,"Erik Jay Murphy, PF",Boston Celtics,"$816,482"
374,"Mike Muscala, PF",Atlanta Hawks,"$816,482"
375,"Hassan Whiteside, C",Miami Heat,"$769,881"
376,"Jeff Adrien, SF",Minnesota Timberwolves,"$742,962"
377,"Jarnell Stokes, PF",Memphis Grizzlies,"$725,000"
378,"Dante Cunningham, PF",New Orleans Pelicans,"$716,043"
379,"Malcolm Lee, SG",Philadelphia 76ers,"$710,659"
380,"Darius Morris, PG",Brooklyn Nets,"$702,756"
RK,NAME,TEAM,SALARY
381,"Spencer Dinwiddie, PG",Detroit Pistons,"$700,000"
382,"Malcolm Thomas, PF",Philadelphia 76ers,"$635,827"
383,"Gal Mekel, PG",New Orleans Pelicans,"$633,974"
384,"Johnny O'Bryant III, PF",Milwaukee Bucks,"$600,000"
385,"James Ennis, SF",Miami Heat,"$507,336"
386,"Russ Smith, PG",Memphis Grizzlies,"$507,336"
387,"Joe Ingles, SF",Utah Jazz,"$507,336"
388,"Erick Green, PG",Denver Nuggets,"$507,336"
389,"Brady Heslip, SG",Minnesota Timberwolves,"$507,336"
390,"Jordan Clarkson, PG",Los Angeles Lakers,"$507,336"
RK,NAME,TEAM,SALARY
391,"Tarik Black, C",Los Angeles Lakers,"$507,336"
392,"Patric Young, PF",New Orleans Pelicans,"$507,336"
393,"Will Cherry, PG",Cleveland Cavaliers,"$495,399"
394,"Kalin Lucas, PG",Memphis Grizzlies,"$486,446"
395,"Drew Gordon, C",Philadelphia 76ers,"$468,540"
396,"Kenyon Martin, PF",Milwaukee Bucks,"$414,551"
397,"Lou Amundson, PF",New York Knicks,"$409,167"
398,"Lance Thomas, SF",Oklahoma City Thunder,"$403,784"
399,"Dahntay Jones, SG",Los Angeles Clippers,"$387,632"
400,"Patrick Christopher, SG",Utah Jazz,"$379,010"
RK,NAME,TEAM,SALARY
401,"Ronald Roberts Jr., PF",Toronto Raptors,"$373,041"
402,"Reggie Williams, SF",San Antonio Spurs,"$344,036"
403,"Amar'e Stoudemire, PF",New York Knicks,"$306,876"
404,"Lorenzo Brown, PG",Minnesota Timberwolves,"$283,367"
