Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Line,O/U,DK,FD
2744,Kyle Lowry,28-356,G,3/16/2015,TOR,@,IND,W,1,38,7,13,0.538,2,5,0.400,5,8,0.63,1,3,0.33,0,11,11,10,3,0,3,4,20,21.6,5,198,60.25,51.20
831,Gordon Hayward,24-313,F,1/30/2015,UTA,,GSW,W,1,38,9,20,0.450,8,17,0.471,1,3,0.33,7,8,0.88,5,10,15,6,3,0,3,3,26,24.7,10,205.5,60.25,56.00
268,Andre Drummond,21-231,C,3/29/2015,DET,@,MIA,L,1,39,14,17,0.824,14,17,0.824,0,0,,4,7,0.57,5,9,14,2,1,2,0,3,32,33.3,2,193,60.00,57.80
663,Greg Monroe,24-217,F-C,1/7/2015,DET,@,DAL,W,1,34,11,16,0.688,11,16,0.688,0,0,,5,5,1.00,3,15,18,6,0,1,4,2,27,26.9,9,211,60.00,55.60
283,Blake Griffin,25-276,F,12/17/2014,LAC,,IND,W,1,40,11,27,0.407,11,25,0.440,0,2,0.00,9,13,0.69,6,10,16,5,1,0,4,2,31,21.8,-11,202,60.00,55.70
878,Chris Paul,29-300,G,3/2/2015,LAC,@,MIN,W,1,37,12,20,0.600,10,16,0.625,2,4,0.50,0,0,,0,4,4,14,3,0,1,1,26,29.4,-6.5,204.5,60.00,56.80
434,DeMarcus Cousins,24-130,C,12/21/2014,SAC,,LAL,W,1,37,9,19,0.474,9,19,0.474,0,0,,11,15,0.73,6,8,14,2,2,3,2,3,29,26.6,-7,206.5,60.00,56.80
1496,Tim Duncan,38-236,F-C,12/17/2014,SAS,,MEM,L,1,48,9,22,0.409,9,22,0.409,0,0,,5,15,0.33,6,10,16,5,2,3,4,4,23,16.4,-3,191.5,60.00,55.70
30,Kemba Walker,24-233,G,12/27/2014,CHO,,ORL,L,1,42,15,31,0.484,10,19,0.526,5,12,0.42,7,9,0.78,1,2,3,7,0,1,2,0,42,30.4,-6,188.5,59.75,56.10
53,LaMarcus Aldridge,29-136,F,12/2/2014,POR,@,DEN,W,1,38,16,30,0.533,16,29,0.552,0,1,0.00,7,9,0.78,0,11,11,1,0,2,0,0,39,29,-3,211.5,59.75,57.70
867,DeMarcus Cousins,24-174,C,2/3/2015,SAC,,GSW,L,1,42,10,21,0.476,10,21,0.476,0,0,,6,7,0.86,3,8,11,4,3,4,3,3,26,23.8,10,218,59.75,56.20
408,John Wall,24-054,G,10/30/2014,WAS,@,ORL,W,1,37,10,21,0.476,8,16,0.500,2,5,0.40,8,9,0.89,0,5,5,12,2,0,2,2,30,28,-4.5,188,59.75,56.00
456,LeBron James,29-331,F-G,11/26/2014,CLE,,WAS,W,1,36,7,14,0.500,6,9,0.667,1,5,0.20,14,17,0.82,1,9,10,8,3,0,4,3,29,27.6,-7.5,201,59.50,55.00
2267,LeBron James,30-075,F-G,3/15/2015,CLE,@,ORL,W,1,35,9,14,0.643,9,11,0.818,0,3,0.00,3,4,0.75,1,7,8,13,3,1,1,3,21,27.8,-10.5,200,59.50,57.10
568,Monta Ellis,29-079,G,1/13/2015,DAL,@,SAC,W,1,40,11,23,0.478,9,20,0.450,2,3,0.67,4,5,0.80,2,2,4,10,4,1,2,5,28,25.6,-5,214,59.50,55.80
14,Blake Griffin,25-267,F,12/8/2014,LAC,,PHO,W,1,43,14,24,0.583,12,22,0.545,2,2,1.00,15,17,0.88,0,8,8,2,1,0,3,4,45,33.2,-7.5,216,59.50,56.60
403,Brook Lopez,27-002,C,4/3/2015,BRK,,TOR,W,1,44,13,24,0.542,13,24,0.542,0,0,,4,4,1.00,10,7,17,2,1,1,1,2,30,28.8,-2,206,59.25,56.40
562,Kevin Love,26-120,F,1/5/2015,CLE,@,PHI,L,1,37,8,18,0.444,7,12,0.583,1,6,0.17,11,13,0.85,4,15,19,2,2,0,3,1,28,25.1,-4.5,192,59.25,54.80
2153,Greg Monroe,24-247,F-C,2/6/2015,DET,,DEN,W,1,36,7,13,0.538,7,13,0.538,0,0,,7,9,0.78,4,17,21,3,2,2,4,0,21,23.3,-6.5,204.5,59.25,54.70
175,Nikola Vucevic,24-029,C,11/22/2014,ORL,,MIA,L,1,37,12,24,0.500,12,24,0.500,0,0,,9,11,0.82,11,6,17,1,0,1,0,2,33,30.3,1.5,191.5,59.25,56.90
469,LeBron James,30-064,F-G,3/4/2015,CLE,@,TOR,W,1,37,9,16,0.563,6,10,0.600,3,6,0.50,8,13,0.62,1,5,6,14,0,0,3,2,29,27.6,-5,205,59.00,54.20
1553,Reggie Jackson,24-335,G,3/17/2015,DET,,MEM,W,1,34,10,18,0.556,8,13,0.615,2,5,0.40,1,1,1.00,1,1,2,20,1,0,2,2,23,27.6,4.5,183.5,59.00,55.40
